response_id,d_urban,s_gender,s_race,d_education,s_hhincome,s_problem,m1_philosophy_1,m1_philosophy_2,m1_philosophy_3,m1_philosophy_4,m1_philosophy_5,m1_philosophy_6,m1_philosophy_7,m1_philosophy_8,m1_philosophy_9,m2_attitudes_1,m2_attitudes_2,m2_attitudes_3,m2_attitudes_4,m2_attitudes_5,m2_attitudes_6,m2_attitudes_7,m2_attitudes_8,m2_attitudes_9,m2_attitudes_10,m2_attitudes_11,m2_awareness_apps_1,m2_awareness_apps_4,m2_awareness_apps_5,m2_awareness_apps_6,m2_awareness_apps_7,m2_awareness_apps_8,m2_awareness_apps_9,m2_awareness_apps_10,m2_awareness_apps_11,m2_awareness_apps_12,m2_awareness_apps_13,m2_awareness_apps_14,hours,source_1,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,source_16,source_17,behavior_1,behavior_4,behavior_5,behavior_6,behavior_7,behavior_8,behavior_9,behavior_10,behavior_11,behavior_12,behavior_13,behavior_14,behavior_15,behavior_16,behavior_a_1,behavior_a_2,behavior_a_3,behavior_a_4,behavior_a_5,behavior_a_6,behavior_a_7,behavior_a_8,behavior_a_9,behavior_a_10,behavior_a_11,behavior_a_12,behavior_a_13,behavior_a_14,interst_cbt,past_coach,interest_coach,d_marital,d_h_hnumber,d_parent,d_child_infant,d_child_young,d_child_older,d_politics,d_political_view,d_employment,d_work_schedule,d_work_hours,s_region,s_age,weights
R_1IKRZn2c7G5Z8hO,1,1,5,8,2,1,4,5,4,3,4,3,3,4,3,4,5,2,4,3,4,2,4,4,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,1,2,NA,NA,NA,1,1,1,1,1,MIDWEST,18-30,0.6206340192236445
R_10w0bC2DdAqbfmM,2,2,5,5,3,3,1,3,3,1,3,1,3,3,5,4,3,3,3,1,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,4,1,2,NA,NA,NA,4,3,2,1,1,MIDWEST,46-64,0.9999169199972376
R_50i0IOZ7Ap0vOKt,3,2,5,5,4,1,3,1,3,3,3,3,4,4,3,5,5,5,4,3,3,4,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,5,2,3,1,2,2,NA,NA,NA,3,2,5,NA,NA,WEST,46-64,0.8570489812448392
R_1hKkyq8YqkV6WvX,1,1,3,2,1,2,5,5,5,5,5,3,4,2,4,5,5,4,1,3,5,2,3,5,4,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,1,NA,1,1,2,5,2,2,NA,NA,NA,1,3,2,2,1,NORTHEAST,18-30,4.557912150654132
R_3fCs1H11nYAxLla,1,2,5,9,3,3,4,1,4,3,3,2,2,4,4,4,4,5,2,4,3,4,3,4,5,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,5,1,2,NA,NA,NA,1,3,2,1,1,MIDWEST,46-64,0.9999169199972376
R_bq1GjJtchuWnrrj,2,1,5,2,2,1,4,1,4,3,3,3,4,3,4,5,5,2,2,3,3,4,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,5,1,2,NA,NA,NA,3,4,5,NA,NA,NORTHEAST,65+,0.6951295076659408
R_yJwD3LaTfzC1fZT,2,1,5,6,2,3,4,3,3,5,3,2,4,4,2,5,5,3,1,3,4,5,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,5,1,2,NA,NA,NA,4,3,5,NA,NA,NORTHEAST,65+,0.6951295076659408
R_3MJLIUbLy55MsZY,2,2,1,6,4,2,4,4,4,3,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,2,2,1,1,2,1,2,1,1,4,5,1,2,2,SOUTH,46-64,1.7269428693314608
R_cTpdyvyRRisWm2J,3,1,5,8,2,3,5,3,3,1,2,3,4,5,5,4,3,2,2,3,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,1,2,NA,NA,NA,3,4,5,NA,NA,MIDWEST,65+,0.7891393709283748
R_XNErREr6T4I1qxj,1,2,5,6,3,2,3,5,5,3,4,3,5,5,4,3,5,3,5,4,3,5,5,5,5,4,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,2,2,2,5,1,2,NA,NA,NA,2,3,1,1,2,MIDWEST,18-30,0.5667568186566031
R_12yEnOigodhN5AE,3,2,5,4,1,2,5,3,3,4,4,2,2,2,3,5,5,5,2,4,4,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,3,2,3,1,1,2,SOUTH,46-64,1.9454628995671899
R_3rVuZlZzF5uxFT7,1,1,1,3,3,3,5,4,2,3,3,5,4,3,4,3,4,5,4,5,4,3,3,3,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,3,2,NA,NA,NA,2,2,3,NA,NA,MIDWEST,18-30,0.9936082534636124
R_2Ck8sbZK6h3qYZ3,1,1,5,2,3,3,4,5,5,5,5,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,2,2,5,1,1,1,1,NORTHEAST,31-45,0.6641864686523854
R_pyk7hcZhOimxAIx,1,2,2,8,4,2,4,2,4,4,2,3,4,4,2,4,4,3,2,3,4,4,3,4,4,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,NA,NA,3,2,1,1,3,NORTHEAST,46-64,1.7669127144316708
R_3OlDd3mc4bB1qOS,2,2,5,5,3,2,4,4,3,4,3,4,5,4,5,4,5,5,1,4,4,5,3,4,4,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,1,2,2,2,5,5,9,NA,NA,NORTHEAST,31-45,0.5266666366746853
R_2cormla71uvyOIg,1,2,5,2,1,3,4,3,4,4,3,4,4,3,3,3,3,2,3,1,1,4,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,5,2,1,1,2,2,2,3,2,3,2,NORTHEAST,31-45,0.7360178617029789
R_2Bag2N1rv5TnXjM,2,2,5,6,4,2,5,1,4,3,3,3,2,3,2,5,5,5,5,4,4,5,4,4,1,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,NA,NA,2,2,1,1,3,WEST,31-45,0.5124665464817516
R_2iy6OySDLk9DAQN,2,1,2,6,4,1,5,4,4,4,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,3,2,NA,NA,NA,3,3,1,1,3,MIDWEST,46-64,2.52963172274757
R_3k5sjUe9xu2LqHg,2,2,5,2,3,1,4,3,3,3,4,2,3,3,5,2,3,2,5,3,3,3,2,3,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,4,1,2,NA,NA,NA,2,3,1,1,2,WEST,46-64,0.9604224422174618
R_3qsaYuMiB5sUpoF,2,1,5,8,4,2,1,3,5,4,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2,2,5,2,2,NA,NA,NA,4,4,1,1,2,NORTHEAST,31-45,0.5926978705337719
R_8progO7rEO2PZzX,1,2,5,6,4,3,3,3,3,4,3,2,4,5,3,5,4,3,3,2,4,3,3,2,5,5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,2,NA,NA,NA,3,4,5,NA,NA,SOUTH,46-64,1.2422635714963122
R_C82PEU4nEoTkSOJ,2,1,5,8,4,3,4,2,4,3,5,3,4,5,4,5,5,5,2,5,5,5,4,5,5,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,4,2,4,3,1,2,NA,NA,NA,5,4,5,NA,NA,MIDWEST,65+,0.8109843011985918
R_1rr9YwcZI5TeqYR,2,2,5,6,3,3,4,1,4,2,2,3,3,4,4,4,3,2,3,3,4,4,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,2,2,NA,NA,NA,4,4,5,NA,NA,SOUTH,46-64,1.3920999141511539
R_1jvqp4pra1nffo9,2,2,5,5,2,2,4,1,4,4,1,2,1,4,4,5,5,5,4,1,5,5,4,5,1,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,2,5,4,1,2,NA,NA,NA,2,3,3,NA,NA,MIDWEST,65+,0.6257480360864494
R_3qg7wdX2cB1q1SZ,1,2,3,6,2,2,4,4,4,4,4,2,3,4,5,3,4,4,4,4,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,2,2,2,5,3,2,NA,NA,NA,2,3,1,1,3,SOUTH,18-30,3.5492637334504575
R_2uPQ1XWxg09UA1O,2,1,4,7,3,3,5,1,3,5,3,3,5,5,3,5,5,5,1,4,5,5,4,5,5,5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,2,4,NA,NA,NA,NA,2,2,2,NA,2,2,2,1,2,2,NA,NA,NA,5,5,2,2,2,SOUTH,46-64,1.9184413630925452
R_2ClkEkBMKKVPDFu,2,1,5,6,2,1,5,1,3,3,2,4,4,5,1,5,5,5,1,5,5,5,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,2,2,NA,NA,NA,NA,5,NA,NA,1,2,3,3,1,2,NA,NA,NA,3,2,5,NA,NA,SOUTH,65+,1.0986521265443943
R_33wYC7Ijq0EMhxL,2,1,5,6,3,1,4,2,3,4,4,2,5,2,4,5,5,5,4,5,2,5,4,5,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,2,NA,NA,NA,4,4,2,3,1,SOUTH,65+,1.2652478074058267
R_3GjrV4dT6cJDhWW,3,1,5,4,3,3,2,2,2,4,4,4,3,3,3,4,4,4,2,3,4,3,4,2,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,2,2,NA,NA,NA,3,3,5,NA,NA,MIDWEST,65+,0.9088016440155631
R_1mxsv8hSLLMdNHK,2,1,5,4,3,3,2,3,3,5,4,1,3,4,2,4,3,2,2,2,3,3,4,2,4,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,2,NA,NA,NA,5,4,5,NA,NA,WEST,65+,0.8729060154708477
R_s4HyMrUUQxVpMNH,3,2,5,6,4,3,2,2,4,3,4,2,4,4,5,4,4,4,1,1,4,4,3,4,5,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,1,3,2,NA,NA,NA,3,3,1,2,2,MIDWEST,46-64,0.8922925370574284
R_1gcs0OKNFZQHJBy,2,2,5,5,3,2,4,2,4,3,2,4,5,5,3,5,4,3,1,2,4,4,3,3,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,1,2,NA,NA,NA,5,5,5,NA,NA,SOUTH,65+,1.0032782038430852
R_2uy11KjmYTatZaE,2,1,5,6,3,3,5,3,5,4,3,3,4,4,4,5,5,5,2,3,4,4,4,4,4,4,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,1,2,2,NA,NA,NA,2,2,5,NA,NA,SOUTH,65+,1.2652478074058267
R_eUHy4TVdT1PN1f3,3,1,5,2,2,3,2,2,3,3,4,3,5,5,3,5,5,4,3,3,3,4,3,4,5,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,1,2,2,NA,NA,NA,4,4,5,NA,NA,MIDWEST,65+,0.7891393709283748
R_3WTw1SxlVV0TTYB,3,1,5,5,3,3,4,1,4,5,2,3,3,5,2,4,4,2,3,3,5,4,4,4,5,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,5,1,2,NA,NA,NA,3,2,5,NA,NA,SOUTH,46-64,1.7555961619844644
R_zeZM0WUjDNBmbap,2,2,5,4,3,1,3,4,2,4,4,3,4,5,2,4,5,3,4,4,3,5,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,1,2,NA,NA,NA,2,2,5,NA,NA,SOUTH,65+,1.0032782038430852
R_3kzSld8yZYgPRPa,2,1,5,4,2,1,4,1,5,5,3,2,4,4,5,5,3,3,1,1,4,5,2,4,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,2,NA,NA,NA,1,1,5,NA,NA,SOUTH,65+,1.0986521265443943
R_1FbSHDvqfGeHWfg,3,2,5,6,1,2,3,2,3,4,4,4,4,4,4,4,4,5,5,3,4,4,5,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,1,2,NA,NA,NA,4,4,6,NA,NA,MIDWEST,46-64,1.3973862441405913
R_3DnBeJqsvEyPSz8,2,2,5,2,3,2,4,2,4,3,3,2,3,2,4,5,5,5,5,4,3,4,2,3,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,2,2,NA,NA,NA,2,2,4,NA,NA,SOUTH,65+,1.0032782038430852
R_2YlZUqb9iN3D0rM,2,1,5,5,3,2,4,2,3,3,3,2,3,4,4,4,4,4,3,2,4,4,3,4,4,3,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,2,NA,NA,NA,3,3,5,NA,NA,SOUTH,46-64,1.7555961619844644
R_1eQ51rNjq2SDyk0,2,2,5,4,2,2,4,1,4,5,4,5,4,5,1,5,5,5,2,4,4,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,1,2,NA,NA,NA,4,4,5,NA,NA,MIDWEST,65+,0.6257480360864494
R_5hGDgTgiIo5jD8J,2,2,5,2,3,3,3,3,4,5,4,3,3,4,4,5,5,5,4,4,4,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,2,5,1,2,2,NA,NA,NA,5,4,5,NA,NA,SOUTH,65+,1.0032782038430852
R_2RTSXj1VR8Tqgpl,2,1,5,8,4,3,3,4,4,4,4,4,4,5,4,4,4,3,4,3,3,4,4,4,4,4,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,2,1,1,2,1,2,2,1,4,3,1,2,3,SOUTH,31-45,0.9367589329457665
R_24hHayB8PNsIETQ,2,2,5,5,2,2,3,3,4,4,3,2,4,4,2,5,5,5,3,3,3,4,4,4,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,1,2,2,NA,NA,NA,2,2,4,NA,NA,NORTHEAST,65+,0.5512029183589965
R_PusKAEgz9dir9ER,1,1,5,6,3,3,3,5,2,2,4,1,4,3,5,5,4,3,2,1,2,3,4,5,4,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,NA,NA,1,2,1,5,1,2,NA,NA,NA,2,3,1,1,3,SOUTH,46-64,1.7555961619844644
R_3NEPz3TQ7YfG9q8,3,1,5,4,3,1,4,3,5,2,5,1,4,4,5,5,5,5,2,4,4,5,5,5,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,2,2,NA,NA,NA,5,5,5,NA,NA,SOUTH,65+,1.2652478074058267
R_3GpwHivHp04n0wL,2,1,5,6,2,2,3,4,4,3,2,1,1,3,5,4,3,2,2,3,3,4,4,2,4,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,2,2,NA,NA,NA,1,4,5,NA,NA,SOUTH,65+,1.0986521265443943
